city,admin_name,lat,lng,forecast_date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Bir Jdid,Casablanca-Settat,33.3737,-8.0002,2026-09-16,26.3,20.3,0.0,0,18.4,35.6,45
Bir Jdid,Casablanca-Settat,33.3737,-8.0002,2026-09-17,26.4,18.6,0.0,0,16.8,33.1,3
Bir Jdid,Casablanca-Settat,33.3737,-8.0002,2026-09-18,26.5,18.0,0.0,3,18.1,35.3,2
Bir Jdid,Casablanca-Settat,33.3737,-8.0002,2026-09-19,27.5,18.3,0.0,3,18.2,35.3,2
Bir Jdid,Casablanca-Settat,33.3737,-8.0002,2026-09-20,31.4,21.1,0.0,3,16.6,33.1,2
Bir Jdid,Casablanca-Settat,33.3737,-8.0002,2026-09-21,29.9,21.3,0.0,0,16.4,33.1,45
Bou Arfa,Oriental,32.531,-1.9631,2026-09-15,32.2,20.1,0.1,10,13.7,21.2,3
Bou Arfa,Oriental,32.531,-1.9631,2026-09-16,28.7,19.0,0.0,3,15.3,24.1,3
Bou Arfa,Oriental,32.531,-1.9631,2026-09-17,30.1,17.9,1.0,34,22.3,41.8,80
Bou Arfa,Oriental,32.531,-1.9631,2026-09-18,29.2,17.8,0.0,35,15.8,25.2,3
Bou Arfa,Oriental,32.531,-1.9631,2026-09-19,29.7,18.6,0.0,25,20.7,31.0,2
Bou Arfa,Oriental,32.531,-1.9631,2026-09-20,31.7,19.0,0.0,13,13.3,20.9,2
Bou Arfa,Oriental,32.531,-1.9631,2026-09-21,30.9,20.5,0.0,17,12.6,20.2,3
Boujad,Béni Mellal-Khénifra,32.7741,-6.3925,2026-09-15,37.1,23.7,0.0,3,20.5,38.2,3
Boujad,Béni Mellal-Khénifra,32.7741,-6.3925,2026-09-16,32.9,19.1,0.0,0,18.4,32.8,0
Boujad,Béni Mellal-Khénifra,32.7741,-6.3925,2026-09-17,31.3,16.8,0.0,3,18.5,33.5,3
Boujad,Béni Mellal-Khénifra,32.7741,-6.3925,2026-09-18,31.5,17.5,0.0,13,16.6,33.5,3
Boujad,Béni Mellal-Khénifra,32.7741,-6.3925,2026-09-19,35.5,20.2,0.0,6,21.3,38.2,2
Boujad,Béni Mellal-Khénifra,32.7741,-6.3925,2026-09-20,37.7,25.4,0.0,3,18.8,37.4,2
Boujad,Béni Mellal-Khénifra,32.7741,-6.3925,2026-09-21,34.3,24.4,0.9,0,12.4,34.6,80
Bouknadel,Rabat-Salé-Kénitra,34.1766,-6.6893,2026-09-15,26.8,21.0,0.0,0,15.8,27.0,45
Bouknadel,Rabat-Salé-Kénitra,34.1766,-6.6893,2026-09-16,25.7,21.2,0.0,0,18.1,31.3,2
Bouknadel,Rabat-Salé-Kénitra,34.1766,-6.6893,2026-09-17,25.4,19.2,0.0,0,12.9,23.0,3
Bouknadel,Rabat-Salé-Kénitra,34.1766,-6.6893,2026-09-18,25.4,17.9,0.0,3,14.3,25.2,3
Bouknadel,Rabat-Salé-Kénitra,34.1766,-6.6893,2026-09-19,29.3,17.6,0.0,3,17.2,28.8,45
Bouknadel,Rabat-Salé-Kénitra,34.1766,-6.6893,2026-09-20,35.7,22.9,0.0,0,13.0,29.5,2
Bouknadel,Rabat-Salé-Kénitra,34.1766,-6.6893,2026-09-21,30.3,22.3,0.0,0,12.0,28.1,2
Bouskoura,Casablanca-Settat,33.4489,-7.6486,2026-09-15,32.6,21.0,0.0,0,14.6,36.7,45
Bouskoura,Casablanca-Settat,33.4489,-7.6486,2026-09-16,27.2,20.0,0.0,0,15.4,38.5,3
Bouskoura,Casablanca-Settat,33.4489,-7.6486,2026-09-17,27.0,19.3,0.0,0,14.9,36.7,3
Bouskoura,Casablanca-Settat,33.4489,-7.6486,2026-09-18,27.5,18.0,0.0,3,15.7,38.5,3
Bouskoura,Casablanca-Settat,33.4489,-7.6486,2026-09-19,29.8,18.0,0.0,2,15.1,37.4,45
Bouskoura,Casablanca-Settat,33.4489,-7.6486,2026-09-20,31.1,21.9,0.0,3,12.0,31.0,2
Bouskoura,Casablanca-Settat,33.4489,-7.6486,2026-09-21,29.8,21.3,0.0,0,13.4,34.2,2
Béni Mellal,Béni Mellal-Khénifra,32.3394,-6.3608,2026-09-15,36.9,25.9,0.0,5,20.6,44.3,3
Béni Mellal,Béni Mellal-Khénifra,32.3394,-6.3608,2026-09-16,33.1,22.2,0.0,0,17.3,36.0,1
Béni Mellal,Béni Mellal-Khénifra,32.3394,-6.3608,2026-09-17,29.9,19.3,0.0,8,10.5,26.6,3
Béni Mellal,Béni Mellal-Khénifra,32.3394,-6.3608,2026-09-18,31.3,19.1,0.0,9,10.3,31.3,3
Béni Mellal,Béni Mellal-Khénifra,32.3394,-6.3608,2026-09-19,35.5,22.0,0.0,4,12.2,29.2,3
Béni Mellal,Béni Mellal-Khénifra,32.3394,-6.3608,2026-09-20,38.7,26.2,0.0,5,17.0,37.4,3
Béni Mellal,Béni Mellal-Khénifra,32.3394,-6.3608,2026-09-21,36.7,28.4,0.3,5,22.4,41.8,80
Cabo Bojador,Laâyoune-Sakia El Hamra,26.1269,-14.4992,2026-09-15,33.3,24.6,0.0,0,26.7,45.0,2
Cabo Bojador,Laâyoune-Sakia El Hamra,26.1269,-14.4992,2026-09-16,29.0,22.2,0.0,0,27.7,49.7,0
Cabo Bojador,Laâyoune-Sakia El Hamra,26.1269,-14.4992,2026-09-17,25.4,20.8,0.0,0,34.0,60.8,3
Cabo Bojador,Laâyoune-Sakia El Hamra,26.1269,-14.4992,2026-09-18,24.9,20.2,0.0,0,24.6,47.2,3
Cabo Bojador,Laâyoune-Sakia El Hamra,26.1269,-14.4992,2026-09-19,25.1,19.0,0.0,0,22.2,43.2,0
